dataset,model_key,run_id,status,source_code,source_training_config,exact_parameter_count,paper_matched_auc,paper_I,final_evaluation,limitation
NEXT,region_mlp,transformer_002_voxel_coordinate_mlp,saved_run_matches_all_recorded_metric_digits_and_exact_parameter_count,code/transformers/original/next_detector,code/transformers/configs/next/final_cached_v1/transformer_002_voxel_coordinate_mlp/representation_config.json,111105,0.987718,0.973246,historical; do not silently substitute strict600 or overflow601,Paper workbook stores 5–6 decimal metric precision rather than the source full-precision binary floats. All stored digits and exact parameter counts match this uniquely named completed run; this is not proof of an unrecorded workbook event fingerprint. Preserve the original NEXT evaluation profile.
NEXT,region_fourier,transformer_003_voxel_fourier_xyz,saved_run_matches_all_recorded_metric_digits_and_exact_parameter_count,code/transformers/original/next_detector,code/transformers/configs/next/final_cached_v1/transformer_003_voxel_fourier_xyz/representation_config.json,113409,0.978698,0.972763,historical; do not silently substitute strict600 or overflow601,Paper workbook stores 5–6 decimal metric precision rather than the source full-precision binary floats. All stored digits and exact parameter counts match this uniquely named completed run; this is not proof of an unrecorded workbook event fingerprint. Preserve the original NEXT evaluation profile.
NEXT,region_rope,,missing_exact_training_source_and_checkpoint,,,,0.5124,0.483,historical; do not silently substitute strict600 or overflow601,"Current paper retains recorded values, but no corresponding RoPE implementation/config/checkpoint/prediction was located. The recovered MLP/Fourier package does not implement RoPE. No EXO implementation or unrelated Transformer was substituted."
NEXT,entity_mlp,transformer_001_sampled_hits_coordinate_mlp,saved_run_matches_all_recorded_metric_digits_and_exact_parameter_count,code/transformers/original/next_detector,code/transformers/configs/next/final_cached_v1/transformer_001_sampled_hits_coordinate_mlp/representation_config.json,111105,0.975494,0.97527,historical; do not silently substitute strict600 or overflow601,Paper workbook stores 5–6 decimal metric precision rather than the source full-precision binary floats. All stored digits and exact parameter counts match this uniquely named completed run; this is not proof of an unrecorded workbook event fingerprint. Preserve the original NEXT evaluation profile.
NEXT,entity_fourier,transformer_004_sampled_hits_fourier_xyz,saved_run_matches_all_recorded_metric_digits_and_exact_parameter_count,code/transformers/original/next_detector,code/transformers/configs/next/final_cached_v1/transformer_004_sampled_hits_fourier_xyz/representation_config.json,113409,0.96273,0.974274,historical; do not silently substitute strict600 or overflow601,Paper workbook stores 5–6 decimal metric precision rather than the source full-precision binary floats. All stored digits and exact parameter counts match this uniquely named completed run; this is not proof of an unrecorded workbook event fingerprint. Preserve the original NEXT evaluation profile.
NEXT,entity_rope,,missing_exact_training_source_and_checkpoint,,,,0.4971,0.512,historical; do not silently substitute strict600 or overflow601,"Current paper retains recorded values, but no corresponding RoPE implementation/config/checkpoint/prediction was located. The recovered MLP/Fourier package does not implement RoPE. No EXO implementation or unrelated Transformer was substituted."
NEXT,summary_mlp,transformer_005_summary_features_coordinate_mlp,saved_run_matches_all_recorded_metric_digits_and_exact_parameter_count,code/transformers/original/next_detector,code/transformers/configs/next/final/transformer_005_summary_features_coordinate_mlp/representation_config.json,111233,0.987424,0.970741,historical; do not silently substitute strict600 or overflow601,Paper workbook stores 5–6 decimal metric precision rather than the source full-precision binary floats. All stored digits and exact parameter counts match this uniquely named completed run; this is not proof of an unrecorded workbook event fingerprint. Preserve the original NEXT evaluation profile.
NEXT,summary_fourier,transformer_006_summary_features_fourier_xyz,saved_run_matches_all_recorded_metric_digits_and_exact_parameter_count,code/transformers/original/next_detector,code/transformers/configs/next/final/transformer_006_summary_features_fourier_xyz/representation_config.json,113537,0.983448,0.972612,historical; do not silently substitute strict600 or overflow601,Paper workbook stores 5–6 decimal metric precision rather than the source full-precision binary floats. All stored digits and exact parameter counts match this uniquely named completed run; this is not proof of an unrecorded workbook event fingerprint. Preserve the original NEXT evaluation profile.
NEXT,summary_rope,,missing_exact_training_source_and_checkpoint,,,,0.6023,0.532,historical; do not silently substitute strict600 or overflow601,"Current paper retains recorded values, but no corresponding RoPE implementation/config/checkpoint/prediction was located. The recovered MLP/Fourier package does not implement RoPE. No EXO implementation or unrelated Transformer was substituted."
MJD,entity_mlp,classification__pulse_entities__coordinate_mlp,exact_saved_run_audited,code/transformers/original/mjd_detector,code/transformers/configs/mjd_detector/classification__pulse_entities__coordinate_mlp/run_config.json,111105,0.9293956978212661,0.8116150873441846,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
MJD,entity_fourier,classification__pulse_entities__fourier_coordinates,exact_saved_run_audited,code/transformers/original/mjd_detector,code/transformers/configs/mjd_detector/classification__pulse_entities__fourier_coordinates/run_config.json,113409,0.9413866002250502,0.802097914589581,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
MJD,region_mlp,classification__raw_patches__coordinate_mlp,exact_saved_run_audited,code/transformers/original/mjd_detector,code/transformers/configs/mjd_detector/classification__raw_patches__coordinate_mlp/run_config.json,112257,0.9734501967234624,0.7983154151144947,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
MJD,region_fourier,classification__raw_patches__fourier_coordinates,exact_saved_run_audited,code/transformers/original/mjd_detector,code/transformers/configs/mjd_detector/classification__raw_patches__fourier_coordinates/run_config.json,114561,0.9810463173072814,0.7876310269369133,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
MJD,summary_mlp,classification__segment_summary__coordinate_mlp,exact_saved_run_audited,code/transformers/original/mjd_detector,code/transformers/configs/mjd_detector/classification__segment_summary__coordinate_mlp/run_config.json,111105,0.9653926210283701,0.7990151806667429,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
MJD,summary_fourier,classification__segment_summary__fourier_coordinates,exact_saved_run_audited,code/transformers/original/mjd_detector,code/transformers/configs/mjd_detector/classification__segment_summary__fourier_coordinates/run_config.json,113409,0.9691365055544586,0.7818013873421643,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
EXO-200,entity_mlp,classification__pulse_entities__coordinate_mlp,exact_saved_run_audited,code/transformers/original/exo200_detector,code/transformers/configs/exo200_detector/classification__pulse_entities__coordinate_mlp/run_config.json,111297,0.9413216210053226,0.7371650799725772,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
EXO-200,entity_fourier,classification__pulse_entities__fourier_coordinates,exact_saved_run_audited,code/transformers/original/exo200_detector,code/transformers/configs/exo200_detector/classification__pulse_entities__fourier_coordinates/run_config.json,115905,0.9471205351711137,0.7291835373545541,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
EXO-200,region_mlp,classification__raw_patches__coordinate_mlp,exact_saved_run_audited,code/transformers/original/exo200_detector,code/transformers/configs/exo200_detector/classification__raw_patches__coordinate_mlp/run_config.json,120769,0.9695573209630712,0.8009381579076389,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
EXO-200,region_fourier,classification__raw_patches__fourier_coordinates,exact_saved_run_audited,code/transformers/original/exo200_detector,code/transformers/configs/exo200_detector/classification__raw_patches__fourier_coordinates/run_config.json,125377,0.9722610766369408,0.7900516557727041,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
EXO-200,summary_mlp,classification__segment_summary__coordinate_mlp,exact_saved_run_audited,code/transformers/original/exo200_detector,code/transformers/configs/exo200_detector/classification__segment_summary__coordinate_mlp/run_config.json,111425,0.9469545080993464,0.7761410115147421,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
EXO-200,summary_fourier,classification__segment_summary__fourier_coordinates,exact_saved_run_audited,code/transformers/original/exo200_detector,code/transformers/configs/exo200_detector/classification__segment_summary__fourier_coordinates/run_config.json,116033,0.9600237431248531,0.8019020777424724,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
EXO-200,region_rope,classification__raw_patches__rope,exact_saved_run_audited,code/transformers/original/exo200_detector,code/transformers/configs/exo200_detector/classification__raw_patches__rope/run_config.json,116161,0.9709096841000631,0.7892311644895167,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
EXO-200,summary_rope,classification__segment_summary__rope,exact_saved_run_audited,code/transformers/original/exo200_detector,code/transformers/configs/exo200_detector/classification__segment_summary__rope/run_config.json,106817,0.9551706747468208,0.7727311876027604,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
EXO-200,entity_rope,classification__pulse_entities__rope,exact_saved_run_audited,code/transformers/original/exo200_detector,code/transformers/configs/exo200_detector/classification__pulse_entities__rope/run_config.json,106689,0.9459249799253545,0.7153366170715236,strict600,"Weights and event predictions are referenced and hashed but intentionally not packaged. Strict600 uses restored original physical energy, not the historical evaluator output."
SuperNEMO,entity_mlp,transformer_001_sampled_hits_coordinate_mlp,exact_saved_run_linked_metrics_match_paper,code/transformers/published_supernemo,code/transformers/configs/published_supernemo/transformer_001_sampled_hits_coordinate_mlp/run_config.json,111233,0.5912104133278413,0.975384791562389,historical; do not silently substitute strict600 or overflow601,The canonical Transformer_Approach SuperNEMO package uses different IDs and has only one completed local run; it is retained as a related source snapshot and must not replace this published implementation.
SuperNEMO,region_mlp,transformer_002_voxel_coordinate_mlp,exact_saved_run_linked_metrics_match_paper,code/transformers/published_supernemo,code/transformers/configs/published_supernemo/transformer_002_voxel_coordinate_mlp/run_config.json,111233,0.5914158866798868,0.9761247768221727,historical; do not silently substitute strict600 or overflow601,The canonical Transformer_Approach SuperNEMO package uses different IDs and has only one completed local run; it is retained as a related source snapshot and must not replace this published implementation.
SuperNEMO,region_fourier,transformer_003_voxel_fourier_xyz,exact_saved_run_linked_metrics_match_paper,code/transformers/published_supernemo,code/transformers/configs/published_supernemo/transformer_003_voxel_fourier_xyz/run_config.json,113537,0.5896103162658949,0.9765258664774298,historical; do not silently substitute strict600 or overflow601,The canonical Transformer_Approach SuperNEMO package uses different IDs and has only one completed local run; it is retained as a related source snapshot and must not replace this published implementation.
SuperNEMO,entity_fourier,transformer_004_sampled_hits_fourier_xyz,exact_saved_run_linked_metrics_match_paper,code/transformers/published_supernemo,code/transformers/configs/published_supernemo/transformer_004_sampled_hits_fourier_xyz/run_config.json,113537,0.5890906098410181,0.9740046303484715,historical; do not silently substitute strict600 or overflow601,The canonical Transformer_Approach SuperNEMO package uses different IDs and has only one completed local run; it is retained as a related source snapshot and must not replace this published implementation.
SuperNEMO,summary_mlp,transformer_005_summary_features_coordinate_mlp,exact_saved_run_linked_metrics_match_paper,code/transformers/published_supernemo,code/transformers/configs/published_supernemo/transformer_005_summary_features_coordinate_mlp/run_config.json,111361,0.590401975879365,0.9749901725375236,historical; do not silently substitute strict600 or overflow601,The canonical Transformer_Approach SuperNEMO package uses different IDs and has only one completed local run; it is retained as a related source snapshot and must not replace this published implementation.
SuperNEMO,summary_fourier,transformer_006_summary_features_fourier_xyz,exact_saved_run_linked_metrics_match_paper,code/transformers/published_supernemo,code/transformers/configs/published_supernemo/transformer_006_summary_features_fourier_xyz/run_config.json,113665,0.5891324617733658,0.9771130772722894,historical; do not silently substitute strict600 or overflow601,The canonical Transformer_Approach SuperNEMO package uses different IDs and has only one completed local run; it is retained as a related source snapshot and must not replace this published implementation.
MJD,entity_rope,,missing_exact_training_source_and_checkpoint,,,,0.793,0.749,historical; do not silently substitute strict600 or overflow601,"Current paper retains recorded values, but no corresponding RoPE implementation/config/checkpoint/prediction was located. The recovered MLP/Fourier package does not implement RoPE. No EXO implementation or unrelated Transformer was substituted."
MJD,region_rope,,missing_exact_training_source_and_checkpoint,,,,0.916,0.768,historical; do not silently substitute strict600 or overflow601,"Current paper retains recorded values, but no corresponding RoPE implementation/config/checkpoint/prediction was located. The recovered MLP/Fourier package does not implement RoPE. No EXO implementation or unrelated Transformer was substituted."
